index,error,correct form,edit distance
7763,summure,summer,2
255,viena,vienna,1
8398,twentineth,twentieth,1
7580,staye,stay,1
373,acompaning,accompanying,2
8118,though out,throughout,2
6376,provisoe,proviso,1
3075,every thing,everything,1
588,ammusement,amusement,1
8356,trouble causer,trouble-causer,1
4878,loveaffair,love affair,1
1653,cientific,scientific,1
8251,togegether,together,2
1903,condact,contact,1
1432,calulate,calculated,2
3322,famili,family,1
6239,previouly,previously,1
4271,in-vited,invited,1
7451,sophiscated,sophisticated,2
5561,okey,ok,2
4123,hown,shown,1
6523,ranning,running,1
4601,jepardy,jeopardy,1
4646,keept,kept,1
5,aprile,april,1
6049,plentyful,plentiful,1
3946,hassel,hassle,2
5143,mischevious,mischievous,2
3517,foreing,foreign,2
3199,expences,expenses,1
9033,your's,your,2
8892,wholed,world,3
683,apendix,appendix,1
7673,strugles,struggles,1
1711,clift,cliff,1
5702,ourselvs,ourselves,1
6848,rhuburb,rhubarb,1
339,accostumed,accustomed,2
3873,hadn't accepted,did not accept,6
4493,intergration,integration,1
557,alow,allow,1
4285,inccident,incident,1
7996,terestial,terrestrial,2
4518,interwiewed,interviewed,1
8022,thanks giving,thanksgiving,1
4446,inquirys,inquiries,2
4576,is gone bad,went wrong,11
3310,falsety,falsity,1
324,acciden,accident,1
3355,fatest,fattest,1
3505,for turnning,to turn,6
6216,presedent,president,1
1735,clumsey,clumsy,1
6632,rediculase,ridiculous,4
7222,shooes,shoes,1
6504,radio-casette,radio-cassette,1
6463,quesionnair,questionnaire,2
7431,some where,somewhere,1
2717,drammatic,dramatic,1
6021,plage,plague,1
2972,enought,enough,1
6094,polucated,polluted,3
5995,picnicing,picnicking,1
7176,seroundings,surroundings,2
644,anounced,announced,1
5129,minigolf,mini-golf,1
8140,threatan,threaten,1
1981,consisit,consist,1
2366,describtion,description,1
5955,pettyness,pettiness,1
9011,yars,years,1
6532,rason,reason,1
6668,regga,reggae,1
1604,check up,check-ups,2
7998,terminel,terminal,1
3063,everbody,everybody,1
2763,dunts,dunce,2
6645,refernc,reference,2
4206,imbaresed,embarrassed,4
830,asch,ash,1
4898,luxorious,luxurious,1
7440,sommer,summer,1
4511,intertion,intention,1
131,japanise,japanese,1
6649,refference,reference,1
8361,trouzers,trousers,1
1947,conrol,control,1
5092,metropolitian,metropolitan,1
1880,concedered,considered,2
1282,boxom,buxom,1
3746,golb,globe,3
7453,sophmore,sophomore,1
4807,liquify,liquefy,1
2254,deci,decide,2
8755,was passing,passed,7
6462,querrelling,quarrelling,1
6549,reail,reality,3
1169,beyons,beyond,1
5861,pendantry,pedantry,1
1165,beutician,beautician,1
4771,leval,level,1
4568,irrespect,irrespectively,5
2998,envolope,envelope,1
1855,completly,completely,1
3846,guerilja,guerilla,1
6843,revesment,refreshment,3
6389,psycologically,psychologically,1
5888,perents,parents,1
3019,equiptments,equipment,2
921,aukward,awkward,1
1512,casset,cassette,2
655,answeres,answers,1
4110,hotelroom,hotel room,1
3056,even body,everybody,2
6105,popolution,population,2
7912,takin,taking,1
8338,trembelling,trembling,2
7937,teamsports,team sports,1
3690,gehettoes,ghettos,2
4380,infectous,infectious,1
215,scottich,scottish,1
940,avaiabl,available,2
1133,belive,believe,1
3224,explotive,explosive,1
72,finisch,finnish,2
7334,singnher,signature,5
3923,happly,happily,1
4968,manerd,mannered,2
6475,quickily,quickly,1
68,europian,european,1
2801,economie,economy,2
4623,juce,juice,1
5945,persuit,pursuit,1
7516,spendide,splendid,2
7333,singinging,singing,3
5935,personnified,personified,1
5195,mony,money,1
863,associat,associate,1
6708,relly,really,1
3698,genra,general,2
2024,contries,countrys,3
5251,mud caked,mud-caked,1
2777,eaq,equal,3
6774,rerved,reserved,2
2156,crime's amount,amount of crime,15
3404,ferced,forced,1
8057,thei,they,1
5158,mitey,mighty,3
4430,innoculate,inoculate,1
947,avantages,advantage,2
6131,possesed,possessed,1
1479,carefuly,carefully,1
5566,olds,older people,9
454,advicing,advising,1
1166,beutiful,beautiful,1
6378,provocates,provokes,3
1060,beautufully,beautifully,1
3979,headek,headache,4
6474,quicked,kicked,2
6257,prisonner's,prisoners,2
140,maroc,morocco,3
4837,living rooms,living-rooms,1
7934,teached,taught,5
998,bancelor,bachelor,2
4143,hunggrly,hungrily,2
8116,thorts,thoughts,3
865,asspelly,especially,5
63,estwood,eastwood,1
8047,theacher,teacher,1
929,authencity,authenticity,2
7030,schooltrip,school trip,1
7983,tempeture,temperature,2
2668,do'nt,don't,2
8069,ther,there,1
2286,definate,definite,1
5903,permantly,permanently,2
6880,robbering,robbing,2
4145,huose,house,2
7907,take sunbath,sunbathe,6
5877,peple,people,1
4799,likly,likely,1
1089,been travelling,travelled,8
6705,relised,realised,1
8087,thievs,thieves,1
1335,brust,brush,1
2765,durty,dirty,1
8817,well educated,well-educated,1
6650,refferre,referred,2
4940,magnigicient,magnificent,2
7462,sorroundings,surroundings,1
6357,propension,propensity,2
2538,directio,direction,1
203,scothisch,scottish,2
5597,opend,opened,1
6207,preocupied,preoccupied,1
4338,inded,indeed,1
6029,plannets,plans,3
1391,busling,bussling,1
1354,bullding,building,1
2821,effectivity,effectiveness,5
568,alweis,always,2
3812,gratefull,grateful,1
8716,voteing,voting,1
646,anouncing,announcing,1
846,assasinated,assassinated,1
5866,pennance,penance,1
4497,internationll,internationally,2
4958,mamoth,mammoth,1
3936,harrass,harass,1
6472,queu,quay,2
5952,pessemistic,pessimistic,1
4603,jes,yes,1
6377,provisons,provisions,1
270,a sort,sorts,3
4340,indentified,identified,1
6833,retirment,retirement,1
102,i'm,i,2
7550,squality,squalidity,2
8041,the old age,olden times,10
2885,embarrested,embarrassed,2
2511,dignatary,dignitary,1
2909,emply,imply,1
6048,plentl,plenty,1
9008,wull,will,1
7971,tem,teams,2
518,airhpstess,air-hostess,2
1912,conection,connection,1
4065,histeric,hysterical,3
815,arrenge,arrange,1
8120,thoughtfull,thoughtful,1
1095,beeween,between,1
5837,pay day,payday,1
6172,practictione,practitioner,2
8358,trouble some,troublesome,1
5738,pacaged,packaged,1
756,apropriation,appropriation,1
4397,infurtile,infertile,1
6392,psysical,physical,1
8265,tomuch,too much,2
4871,lote,lot,1
1860,componant,component,1
4429,innocient,innocent,1
3385,feelling,feeling,1
1406,buttle,bottles,2
6534,ratial,racial,1
8567,unusal,unusual,1
2484,diffences,differences,2
7454,sorce,source,1
1299,breacks,brakes,3
910,attendents,attendants,1
7750,sugar cane,sugar-cane,1
4431,innosant,innocent,2
8328,travell,travelled,2
8991,would have taken,had to take,9
69,eygpt,egypt,2
4778,libraie,libraries,2
6447,quarell,quarrelling,4
8950,wod,wood,1
772,ar,are,1
6720,rememebered,remembered,1
3260,eyery one,everyone,2
8544,unresponsible,irresponsible,2
2592,disillutionment,disillusionment,1
6464,question ing,questioning,1
5482,nusience,nuisance,3
7788,suppart,support,1
5549,officicial,official,2
6247,primeminister,prime minister,1
2563,disck-jockey,disc-jockey,1
2534,dinning room,dining-room,2
2567,discotec,discotheque,4
4489,interferred,interfered,1
5069,menation,mention,1
6078,polatics,politics,1
4008,heddeik,headache,5
2922,encorage,encourage,1
4893,lunactics,lunatics,1
6886,rocksacks,rucksacks,1
4036,heydey,heyday,1
5511,occasionaly,occasionally,1
3486,folk dancing,folk-dancing,1
8639,vanilla flavour,vanilla-flavour,1
7801,suprising,surprising,1
4700,laggages,luggage,2
8573,unwrightable,unwritable,2
6567,reat,relatively,6
7533,spoild,spoil,1
7747,suffuring,suffering,1
7827,surroud,surround,1
1109,beginnig,beginning,1
8270,torists,tourists,1
1535,cautch,coach,3
3783,governament,government,1
3850,guidence,guidance,1
5531,occussion,occasion,2
2528,dimocratic,democratic,1
7266,sick-ness,sickness,1
2761,dugged,dug,3
80,friday's,friday,2
5611,oportunity,opportunity,1
3547,fortunitly,fortunately,2
3479,fluor,flour,2
7952,techonologies,technology,4
821,arrond,around,2
2974,enourmously,enormously,1
8470,unecessary,unnecessary,1
4874,loud speakers,loudspeakers,1
5282,mysteri,mystery,1
2912,emprace,embrace,1
4652,kind manerdly,kind manneredly,2
109,im,i'm,1
4355,indipendent,independent,1
483,afterall,after all,1
3353,fast running,fast-running,1
3209,expirienced,experienced,1
4921,madicene,medicine,2
4015,heirarch,hierarchy,3
4091,hopeing,hoping,1
8304,traffig,traffic,1
4628,jumed,jumped,1
7084,seasice,scissors,6
4586,its',its,1
5304,natur's,nature's,1
7598,stigit,ticket,4
8540,unproper,improper,2
3744,goind,going,1
3095,evry,every,1
3313,falt,fault,1
452,adviced,advised,1
2871,embarassed,embarrassed,1
8308,trafick,traffic,2
3729,glass case,glas-case,2
2784,easy influendly,easily influenced,5
3719,girrife,giraffe,2
9042,yuo,you,2
8239,to use,for using,5
3998,heartly,hearty,1
3270,facillate,facilitated,3
8888,whobbly,wobbly,1
2061,coply,copy,1
7264,siccors,scissors,3
1232,blussed,blushed,1
5671,origion,origin,1
1870,comsumer,consumer,1
4812,lissten,listen,1
4321,incourage,encourage,1
4294,includind,included,2
8876,whife,wife.,2
7010,scheem,scheme,2
7308,simles,simplest,2
5389,nice looking,nice-looking,1
2977,enterence,entrance,2
816,arrengiments,arrangements,2
5481,nuses,nurses,1
4990,manutriction,malnutrition,2
369,acksident,accident,2
4094,horible,horrible,1
5375,netr,entry,3
3765,goodby,good-bye,2
5112,milions,millions,1
8005,terrifide,terrified,2
2245,deathed,death,2
3738,godbay,good-bye,4
7354,sitting room,sitting-room,1
1058,beautifull,beautiful,1
1183,big damage on,major damage to,7
5334,necklasses,necklaces,2
170,norwey,norway,1
6683,relabl,reliable,2
5200,moove,move,1
8701,vistit,visit,1
2604,dismised,dismissed,1
5557,og,organisations,11
2243,deaseas,disease,3
1340,buetiful,beautiful,3
4531,intresting about,interested in,9
7648,streching,stretching,1
2937,enecial,initials,4
3737,god's mother,mother of god,11
5826,patiantly,patiently,1
3965,head mistress,headmistress,1
5541,of weight,in weight,2
2811,educationals,education,3
1410,by cause,because,2
7097,sed,said,2
8542,unreluctantly,reluctantly,2
3696,genious,genius,1
1853,complet,complete,1
6990,scacally,scarcely,3
2577,discresion,discretion,1
8128,thourough,thorough,1
5970,phisician,physician,1
2122,courntry,country,1
4239,impecably,impeccably,1
6089,polluated,polluted,1
4840,livingstone,livingstone's,2
989,ballance,balance,1
2247,deceide,decide,1
5452,notice board,noticeable,5
8045,the tecknology's progress,the progress of technology,21
3817,greated,greeted,1
2812,eerly,early,1
991,ballons,balloons,1
2789,eazy,easy,1
2311,delite,delight,3
3866,had been,was,7
5208,more over,moreover,1
874,aswered,answered,1
1310,bride's maid,bridesmaid,2
7649,streit,strait,1
753,aproached,approached,1
3826,gretae,greater,3
5415,nocternal,nocturnal,1
4124,howve,however,2
3435,finilly,finally,1
4410,initiary,itinerary,4
412,addmited,admitted,2
7551,squandling,squandering,2
8843,wethe,whether,2
5959,pharmacians,pharmacists,2
4554,invironment,environment,1
6598,recieved,received,2
2264,decited,decided,1
681,apeals,appeals,1
1717,climit,climate,2
4072,hoby,hobby,1
2307,delinquences,delinquencies,1
7961,teenages,teenagers,1
343,accrude,accrued,2
995,baloons,balloons,1
4544,invaluble,invaluable,1
4667,knoledge,knowledge,1
5944,persues,pursues,1
267,a rapresentation,representative,5
5634,oppsite,opposite,1
1760,colate,collate,1
2860,eleventh hours,eleven o'clock,8
4348,independency,independence,1
598,amout,amount,1
3725,glamourous,glamorous,1
622,ancle,ankle,1
8628,valnerability,vulnerability,1
8662,vegatable,vegetable,1
3442,firced,forced,1
7435,somethink,something,1
5804,parton,pardon,1
2646,distirbed,disturbed,1
6224,presure,pressure,1
4703,lagr,large,2
7653,strenghtening,strengthening,2
7407,socable,sociable,1
8685,vilence,violence,1
5495,obligng,obliging,1
6052,plesent,pleasant,2
8058,their's child,their child,2
942,avaiblity,availability,3
629,angrey,angry,1
4050,high way,highway,1
143,mediterranee,mediterranean,2
8777,watercycling,water-cycling,1
8978,worsed,worse,1
5116,milliainere,millionaire,4
7493,speach,speech,1
1594,chating,chatting,1
3508,forbiden,forbidden,1
3000,envolving,involving,1
5264,murmers,murmurs,1
366,acident,accident,1
2509,difrent,different,2
6379,provoketed,provoked,2
1934,congueror,conqueror,1
4269,impurs,impulse,2
6129,possablities,possibilities,2
358,acheivement,achievement,2
643,anoucement,announcement,2
8553,unsucessful,unsuccessful,1
8659,ve,leave,3
5545,offened,offended,1
313,acceed,accede,2
2114,countriman,countryman,1
5058,meen,meet,1
2964,ennumerate,enumerate,1
3842,guarnty,guarantee,3
4937,magnifinct,magnificent,3
8798,weding,wedding,1
8347,triped,tripped,1
2877,embarrased,embarrassed,1
8816,well dressed,well-dressed,1
6487,quitely,quietly,2
6616,recomanded,recommended,2
3279,facultes,faculties,1
1244,bolling,bowling,1
7252,showen,shown,1
1346,buiscits,biscuits,2
8786,wealh,wealth,1
2959,enjured,injured,1
2542,disaggreaget,disaggregate,3
3593,frightfull,frightful,1
4759,leiuse,leisure,2
4157,hygenic,hygienic,1
4920,mades,makes,1
7766,sunddenly,suddenly,1
1776,colourfull,colourful,1
4344,independance,independence,1
1242,boicotted,boycotted,1
7501,specialisises,specialises,2
8836,were celebrating,celebrated,8
2210,cyl,cycle,2
8724,wagish,waggish,1
1255,bore hols,bore-holes,2
367,acieve,achieved,2
71,fincancers,financiers,2
4560,invstor,investors,2
4538,intulectual,intellectual,2
8577,up lift,uplifts,2
6374,provid,provide,1
1187,bigest,biggest,1
4024,hemorrage,hemorrhage,1
5672,origional,original,1
3439,finnest,finest,1
1361,bungerlow,bungalow,2
5019,mathematicaly,mathematically,1
6098,polution,pollution,1
7380,slimer,slimmer,1
1485,carn't,can't,1
1976,conservativ,conservative,1
3149,excuese me,excuse me,1
1756,cogradulate,congratulate,2
217,scotts,scots,1
8635,vanderlisium,vandalism,4
503,agressive,aggressive,1
4129,human's weights,human rights,4
2242,deam,deem,1
321,accheive,achieved,4
7590,steril,sterile,1
3711,gir,girl,1
8254,toght,thought,2
5041,mecanic,mechanics,2
8574,up-to date,up-to-date,1
2263,decissions,decisions,1
5436,noone,no-one,1
325,accidentaly,accidentally,1
1707,clerck,clerk,1
4905,luying,lying,1
5020,mather,mother,1
3226,expor,exporting,4
5018,mathamatics,mathematics,1
584,amibuit,ambiguity,3
3611,full time,full-time,1
8718,vqrie,varied,2
1132,beligerant,belligerent,2
447,adventerous,adventurous,1
6450,quarelling,quarrelling,1
1153,benifit,benefit,1
757,aproximate,approximate,1
5638,oprators,operators,1
5777,paren't,parents,2
7564,standed,stood,4
128,japaneese,japanese,1
6338,promissed,promised,1
1878,comunuating,communicating,3
4488,interfer,interfered,2
7538,spontanous,spontaneous,1
2973,enourmous,enormous,1
7375,sli,silent,4
684,aplicable,applicable,1
6961,san,son,1
915,attornies,attorneys,2
1818,communitte,community,2
4198,imaginatious,imaginative,3
6488,quites,quiets,2
6429,puting,putting,1
5280,mybe,maybe,1
1824,companys,companies,2
1435,camar,camera,2
1954,consecuence,consequence,1
8861,whe-ever,whenever,1
3207,experments,experiments,1
2520,dilirious,delirious,1
7404,so soon as,as soon as,2
6364,prosecueted,prosecuted,1
4943,maine,main,1
6041,pleaces,places,1
2480,diferent,different,1
3247,extention,extension,1
1798,commerse,commerce,1
1744,cocain,cocaine,1
1670,cistin,citing,2
3686,gaves,gave,1
6879,roand,road,1
7863,swin,swim,1
6214,prepetual,perpetual,2
3060,evenually,eventually,1
4833,liveing,living,1
4162,ideale,ideal,1
8690,vioiln,violin,2
5522,occurance,occurrence,2
5909,permited,permitted,1
3622,fundanental,fundamental,1
1199,bipass,bypass,1
3262,fabulose,fabulous,2
7825,surprized,surprise,2
6828,resuld,result,1
2813,ef,ever,3
5809,pash,push,1
1037,bea,belts,3
5575,omnisient,omniscient,1
7547,sprllin,spelling,2
4710,langage,language,1
1050,beatifus,beautiful,2
3691,generall,general,1
1148,benfit,benefit,1
8552,unsually,unusually,1
1235,boarding school,boarding-school,1
5252,mud splotched,mud-splotched,1
5170,modle's,models,2
3491,fomerly,formally,3
3720,giveing,giving,1
701,appearin,appearing,1
2306,deliguent,delinquent,2
5086,metaphores,metaphors,1
7848,swedesh,swedish.,2
4764,lessone,lesson,1
5678,orself,ourself,1
2462,didn'd,didn't,1
2316,delvin,delving,1
1865,compromice,compromise,1
2778,eard,heard,1
6781,reseaved,reserved,1
3223,explotion,explosion,1
379,acount,account,1
8999,writte,write,1
4644,keap,keep,1
6223,presuposes,presupposes,1
4512,interuduce,introduce,2
1702,clearity,clarity,1
2325,demostrating,demonstrating,1
8912,wiev,view,2
3984,headquats,headquarters,3
2155,crimamel,criminal,3
7552,squards,squads,1
1056,beauteful,beautiful,1
823,arte,are,1
448,adventureous,adventurous,1
7144,senscebul,sensible,4
3058,eventuallity,eventuality,1
768,aquantences,acquaintances,3
6121,posioning,poisoning,2
342,accruatel,accurately,3
413,addresable,addressable,1
802,arlegy,allergy,2
4964,manager assistent,assistant manager,17
7276,sighteseing,sightseeing,2
5228,motor-bika,motorbike,2
7729,sucessful,successful,1
6427,pused,pushed,1
779,aranging,arrangeing,2
3638,fusalage,fuselage,1
5408,niternationa,international,3
3683,gaurdian,guardian,2
7979,temperatured,temperature,1
8996,wounderful,wonderful,1
7524,spilend,splendid,3
4959,mamured,murmur,4
912,attening,attending,1
6749,repleid,replied,2
4680,koings,coins,2
5072,ment,meant,1
7432,somebodys,somebody's,1
5435,nonsens,nonsense,1
7473,sourroundings,surroundings,1
7292,silouettes,silhouettes,1
5242,movaless,marvellous,6
6975,satisfactery,satisfactory,1
2608,dispair,despair,1
5839,pe,predictions,9
3152,excusema,excuse me,2
4724,lasy,lazy,1
6937,safing,saving,1
780,araond,around,2
4280,in the farer places,to more distant places,12
5862,pendelum,pendulum,1
4684,kows,knows,1
390,acters,actors,1
5025,mattres,mattress,1
6466,questionare,questionnaire,2
2188,cultur,culture,1
3289,fairy land,fairyland,1
7181,servays,surveys,2
6234,preventation,prevention,2
5664,orgi's,orgies,1
3100,exactely,exactly,1
8842,western styled,western-style,2
3020,equiries,inquiries,2
3133,excetera,etcetera,1
8728,waiked,waked,1
5416,nodles,noodles,1
6109,poralised,paralysed,2
6801,respectered,respected,2
6104,poors,poor people,7
7341,sirenes,sirens,1
1096,bef,benefits,5
7419,soli,solving,3
2038,convential,conventional,2
4042,hier,here,2
8037,the cassetes english,the english cassettes,15
130,japanisch,japanese,3
4498,interogationg,interrogating,2
1503,cartshipe,cartridges,5
1784,comerades,comrades,1
1885,concequently,consequently,1
4330,increasinl,increasingly,2
994,baloon,balloon,1
661,anwering,answering,1
5568,oly,only,1
3275,factory processed,factory-processed,1
6023,plaigarism,plagiarism,2
7466,sosial,social,1
6358,properganda,propaganda,2
8708,vollyball,volley-ball,2
5695,our's,ours,1
7886,synfony,symphony,3
3915,happenes,happens,1
6509,radio controlled,radio-controlled,1
7114,selebrated,celebrated,1
6385,psychonalist,psychoanalyst,2
2342,depleated,depleted,1
5443,not notice,no sign,6
2435,devlopping,developing,2
6783,resentely,recently,2
3689,geece,geese,1
2116,country side,countryside,1
8348,tripp,trip,1
924,aurgument,argument,1
6548,ready made,ready-made,1
7367,skisaly,scarcely,5
7070,se,side,2
3895,handicapt,handicapped,3
7189,severeal,several,1
4885,lsit,lists,3
4746,leasons,lessons,1
8121,thoughth,thought,1
4368,ineffiect,inefficient,3
6993,scarcily,scarcely,1
6061,pluss,plus,1
7127,selled,sold,3
2654,disturbents,disturbance,3
3098,exa,exhausted,6
7786,supose,suppose,1
3276,factorys,factories,2
5215,mort,more,1
6304,profesionals,professionals,1
7268,side step,sidestep,1
4260,improbabiliti,improbability,1
1752,coffe,coffee,1
8528,unluncky,unlucky,1
1390,businness,business,1
7844,swalow,shallow,2
2445,diceded,decided,2
1652,cielings,ceilings,2
6744,repetative,repetitive,1
7304,simililar,similar,2
4876,lounlyness,loneliness,3
1328,brothe,brother,1
8926,windness,windless,1
7122,selfe,self,1
5414,nocks,knocks,1
4727,lateyst,latest,1
6656,reforced,reinforced,2
3708,ghotic,gothic,2
6859,riden,rode,2
7890,syntethic,synthetic,2
8973,world wide,world-wide,1
3379,feasable,feasible,1
6191,predudice,prejudice,1
8520,universitys,universities,2
6585,recet,receipt,2
8451,understan,understand,1
1069,beceming,becoming,1
6606,recit,recite,1
3610,full grown,fully-grown,2
74,finnis,finnish,1
1285,boys',boys,1
3851,guidlines,guidelines,1
2455,dicrease,decrease,1
236,thams,thames,1
6701,reliefed,relieved,1
2535,dinningroom,dining-room,2
3039,especialy,especially,1
306,abule,able,1
7541,spot lights,spotlights,1
5478,numbuers,numbers,1
4853,lonelynes,loneliness,2
3134,excetly,exactly,2
2159,crimerate,crime rate,1
2519,diligense,diligence,1
6107,populair,popular,1
4291,incidently,incidentally,2
3881,hall departure,departure hall,10
2678,doing a search,making a search,3
6571,recate,relate,1
4281,in to,into,1
4018,helpfll,helpful,1
7180,servaying,surveying,2
4137,hundered,hundred,1
774,ar,our,2
6887,rocord,record,1
4875,loudspeak,loudspeaker,2
8370,tryed,tried,1
398,acuaintance,acquaintance,1
8855,whatch,watch,1
104,i'm trying,i try,5
5864,pengiuns,penguins,2
7465,sosciety,society,1
8968,worht while,worthwhile,2
1989,constitit,constitutes,3
2956,enjoye,enjoy,1
446,adventageous,advantageous,1
3041,espect,expect,1
5329,necessaties,necessities,1
6210,prepareng,preparing,1
2921,encompasing,encompassing,1
1839,competant,competent,1
2750,drunked,drunken,1
8056,thei,there,2
7016,school children's,schoolchildren's,1
5417,noe,now,1
1907,condicions,conditions,1
6746,repititiou,repetitious,2
7199,sharpner,sharpener,1
3679,gasolinde,gasoline,1
7782,supliment,supplement,2
4361,individul,individual,1
2021,contracter,contractor,1
738,appropi,appropriate,4
8245,to wear,for wearing,5
1597,cheaf,cheap,1
3641,futhermore,furthermore,1
4394,infromatio,information,3
5751,paitient,patient,1
3231,expt,except,2
8097,thinke,think,1
6184,precison,precision,1
3981,headidch,headache,3
6494,qvickly,quickly,1
7940,teatch,teach,1
8658,vater,water,1
5805,party gooers,party-goers,2
591,amoebid,amoebic,1
8720,wa,wide,3
1684,cizeres,scissors,5
6867,ripered,repaired,3
6637,ree,reasons,5
199,sciente,scientists,4
5237,mountaneous,mountainous,2
5310,nealy,nearly,1
8781,wating,waiting,1
6342,pronaunce,pronounce,1
2919,enclosured,enclosed,2
5732,owful,awful,1
6936,safegaurd,safeguard,2
5214,morover,moreover,1
6232,prevelant,prevalent,2
3271,facinate,fascinate,1
6345,pronouncment,pronouncements,2
7045,scisors,scissors,1
7121,selfconsciousness,self-consciousness,1
4977,manoue,manouver,2
8476,uneque,unique,1
8127,thoun,thrown,2
6217,presion,position,4
4828,litted,lit,3
3892,handeling,handling,1
2572,discoverd,discovery,1
797,arguement,argument,1
3374,feal,feel,1
3371,favulouse,fabulous,2
6145,potateos,potatoes,2
1193,binefit,benefit,1
6046,pleasuru,pleasure,1
7731,sucinctly,succinctly,1
8699,vist,visit,1
8260,tolking,talking,1
4788,life time,lifetime,1
5547,offerred,offered,1
7500,spechless,speechless,1
40,commonwelth,commonwealth,1
2823,effeicienc,efficiency,2
8758,was teached,taught,9
2541,disabelled,disabled,2
2724,dream land,dreamland,1
5259,mumies,mummies,1
8484,unforgetable,unforgettable,1
5840,pe,purpose,5
7111,selberate,celebrate,3
6754,representant,representative,4
8168,tid-bits,titbits,2
4282,inabitants,inhabitants,1
496,aginst,against,1
1749,coeffcien,coefficient,2
7296,simblicity,simplicity,1
6555,realiable,reliable,1
6085,politicans,politicians,1
7787,suposed,supposed,1
197,schwedish,swedish,2
7995,tere,there,1
4375,infact,in fact,1
3081,everyones',everyone's,2
7038,scienee,science,1
8274,torwads,towards,2
8944,wittes,whites,2
4268,impurite,impurities,2
3120,excample,example,1
6281,probebly,probably,1
6662,refreshmend,refreshment,1
6715,rembered,remembered,2
6652,refising,revising,1
2109,counsil,council,1
4063,his self,himself,2
158,normandie,normandy,2
3552,fosscil,fossil,1
1660,cinama,cinema,1
8887,who ever,whoever,1
877,asyncronousl,asynchonously,2
1859,compltin,completing,2
7150,separat,separate,1
